,name,artist,category
0,A Crisis Of Revelation,Trivium,1
1,A Grey so Dark,Trivium,2
2,A Gunshot to the Head of Trepidation,Trivium,4
3,A Skyline's Severance,Trivium,4
4,A View of Burning Empires,Trivium,0
5,Amongst The Shadows & The Stones,Trivium,4
6,And Sadness Will Sear,Trivium,1
7,Anthem (We Are the Fire),Trivium,1
8,As I Am Exploding,Trivium,1
9,Ascendancy,Trivium,1
10,Ashes,Trivium,3
11,At the End of This War,Trivium,1
12,Beauty in the Sorrow,Trivium,1
13,Becoming the Dragon,Trivium,1
14,Bending The Arc To Fear,Trivium,1
15,Beneath the Sun,Trivium,4
16,Betrayer,Trivium,1
17,Beyond Oblivion,Trivium,1
18,Black,Trivium,1
19,Bleed Into Me,Trivium,4
20,Blind Leading the Blind,Trivium,1
21,Blinding Tears Will Break the Skies,Trivium,2
22,Brave This Storm,Trivium,4
23,Breathe in the Flames,Trivium,3
24,Broken One,Trivium,1
25,Built to Fall,Trivium,1
26,Capsizing the Sea,Trivium,3
27,Catastrophist,Trivium,4
28,Caustic Are the Ties That Bind,Trivium,1
29,Cease All Your Fire,Trivium,4
30,Chaos Reigns,Trivium,1
31,Contempt Breeds Contamination,Trivium,4
32,Dead and Gone,Trivium,4
33,Declaration,Trivium,1
34,Departure,Trivium,4
35,Detonation,Trivium,1
36,Down from the Sky,Trivium,4
37,Drowned and Torn Asunder,Trivium,1
38,Drowning in Slow Motion,Trivium,1
39,Dusk Dismantled,Trivium,1
40,Dying in Your Arms,Trivium,4
41,Ember to Inferno,Trivium,4
42,Endless Night,Trivium,4
43,Ensnare the Sun,Trivium,3
44,Entrance of the Conflagration,Trivium,1
45,Fall Into Your Hands,Trivium,1
46,Falling to Grey,Trivium,3
47,Feast Of Fire,Trivium,4
48,Forsake Not the Dream,Trivium,1
49,From Dawn To Decadence,Trivium,1
50,Fugue,Trivium,1
51,Fugue (A Revelation),Trivium,3
52,He Who Spawned the Furies,Trivium,1
53,If I Could Collapse the Masses,Trivium,3
54,Ignition,Trivium,1
55,In The Court Of The Dragon,Trivium,1
56,In Waves,Trivium,1
57,Inception of the End,Trivium,1
58,Inception: The Bleeding Skies,Trivium,3
59,Incineration: The Broken World,Trivium,1
60,Insurrection,Trivium,1
61,Into the Mouth of Hell We March,Trivium,1
62,Introduction,Trivium,3
63,Iron Maiden,Trivium,1
64,IX,Trivium,3
65,Kirisute Gomen,Trivium,4
66,Lake of Fire,Trivium,1
67,Leaving This World Behind,Trivium,3
68,Like A Sword Over Damocles,Trivium,1
69,Like Callisto to a Star in Heaven,Trivium,1
70,Like Light to the Flies,Trivium,1
71,Master of Puppets,Trivium,1
72,My Hatred,Trivium,3
73,No Hope for the Human Race,Trivium,1
74,No Way Back Just Through,Trivium,1
75,No Way to Heal,Trivium,1
76,Of All These Yesterdays,Trivium,4
77,Of Prometheus and the Crucifix,Trivium,4
78,Other Worlds,Trivium,1
79,Pain,Trivium,4
80,Pillars of Serpents,Trivium,3
81,"Poison, the Knife or the Noose",Trivium,4
82,Pull Harder on the Strings of Your Martyr,Trivium,1
83,Pull Me from the Void,Trivium,4
84,Rain,Trivium,2
